"discourse_list","speakers","X1","X2","X3","structure","f0_s1","f0_s2"
"suborn_1253_2_2","1253",0.166666666666667,1.16666666666667,2.2,1,0.414977201523046,0.0160045307955433
"suborn_1253_2_3","1253",0.185185185185186,1.16666666666667,2.2,1,0.0408613602242457,0.0440367167395579
"suborn_1253_2_4","1253",0.166666666666666,1.16666666666667,2.22222222222222,1,-0.614984411893807,-0.0412834622577599
"suborn_1254_1_1","1254",0.185185185185186,1.16666666666667,2.2,2,-0.856117135350023,0.0780014934734863
"suborn_1254_1_2","1254",0.185185185185185,1.18518518518518,2.22222222222222,2,-1.6898075011079,0.692251806678439
"suborn_1254_1_3","1254",0.166666666666667,1.18518518518519,2.2,2,0.318466290775981,-0.00999966301992382
"suborn_1254_2_1","1254",0.185185185185186,1.16666666666667,2.2,1,-1.47286988682383,0.425583462528387
"suborn_1254_2_2","1254",0.185185185185184,1.18518518518519,2.28888888888889,1,-1.23821898439067,0.652188548965412
"suborn_1254_2_3","1254",0.185185185185185,1.16666666666667,2.22222222222222,1,-0.752044406742234,-1.17176781193523
"suborn_1254_2_4","1254",0.166666666666666,1.18518518518519,2.2,1,0.454408927005176,-1.11564684148924
"suborn_1256_1_1","1256",0.259259259259261,1.18518518518519,2.22222222222222,2,-0.127576362259157,0.172664202018413
"suborn_1256_1_2","1256",0.185185185185186,1.18518518518519,2.2,2,-0.505433569183197,0.101933026475096
"suborn_1256_1_3","1256",0.185185185185185,1.16666666666667,2.22222222222222,2,-0.644736136351237,0.144258402203483
"suborn_1256_1_4","1256",0.185185185185185,1.16666666666667,2.22222222222222,2,-0.536300891268648,-0.0111446197274667
"suborn_1256_2_1","1256",0.185185185185186,1.18518518518519,2.2,1,0.297043435620395,-0.195872416771911
"suborn_1256_2_2","1256",0.185185185185186,1.18518518518519,2.22222222222222,1,-0.132852250507153,0.852729693968189
"suborn_1256_2_3","1256",0.185185185185186,1.16666666666667,2.2,1,-0.593745893905633,0.397093217012063
"suborn_1256_2_4","1256",0.185185185185185,1.16666666666667,2.2,1,-0.581264921034532,0.180144722844308
"suborn_1257_1_1","1257",0.185185185185186,1.18518518518519,2.22222222222222,2,-0.261948210709678,0.162520680153285
"suborn_1257_1_2","1257",0.185185185185186,1.16666666666667,2.2,2,-0.412116081332026,0.263200380457112
"suborn_1257_1_3","1257",0.166666666666667,1.16666666666667,2.2,2,-0.099223110809856,-0.0299945734692327
"suborn_1257_1_4","1257",0.185185185185185,1.16666666666667,2.2,2,-2.36208412256736,1.11671886668018
"suborn_1257_2_1","1257",0.166666666666667,1.16666666666667,2.2,1,0.306930145512927,-0.363284442505494
"suborn_1257_2_2","1257",0.185185185185185,1.16666666666667,2.2,1,-3.2612832967147,1.72782857667609
"suborn_1257_2_3","1257",0.185185185185186,1.16666666666667,2.22222222222222,1,-0.377741254280389,0.420568397496526
"suborn_1257_2_4","1257",0.166666666666666,1.18518518518519,2.22222222222222,1,0.908338650633287,-0.886866418909388
"suborn_1258_1_1","1258",0.166666666666667,1.18518518518518,2.22222222222222,2,0.166930782142477,0.140214678182019
"suborn_1258_1_2","1258",0.185185185185185,1.18518518518518,2.2,2,-0.363777274755104,0.60414887082117
"suborn_1258_1_3","1258",0.185185185185185,1.18518518518518,2.2,2,-2.13363509969869,-0.923408361266863
"suborn_1258_1_4","1258",0.185185185185185,1.18518518518519,2.2,2,-0.936284310883607,0.487751126099056
"suborn_1258_2_2","1258",0.166666666666667,1.18518518518519,2.2,1,-0.838540301797462,1.09970868270592
"suborn_1258_2_3","1258",0.166666666666667,1.16666666666667,2.22222222222222,1,-0.22579662036176,0.0669425039906043
"suborn_1258_2_4","1258",0.166666666666666,1.16666666666667,2.2,1,-1.01236342137808,0.225299398155346
"suborn_1259_1_1","1259",0.185185185185185,1.18518518518519,2.22222222222222,2,-0.269783282016447,0.120572267289576
"suborn_1259_1_2","1259",0.166666666666667,1.16666666666667,2.2,2,-0.517644875122795,0.693067363030961
"suborn_1259_1_3","1259",0.166666666666667,1.16666666666667,2.2,2,-0.688642471419446,0.338477521140257
"suborn_1259_1_4","1259",0.185185185185185,1.18518518518519,2.22222222222222,2,0.396468416279757,1.15367492678735
"suborn_1259_2_1","1259",0.166666666666667,1.16666666666667,2.22222222222222,1,-1.45446200890945,0.172689749708497
"suborn_1259_2_2","1259",0.166666666666667,1.18518518518519,2.2,1,-0.762336789925953,-0.307142194492737
"suborn_1259_2_3","1259",0.185185185185186,1.18518518518519,2.2,1,-0.208110627954532,-0.650209318578064
"suborn_1260_1_1","1260",0.185185185185186,1.16666666666667,2.2,2,0.602481855072276,-0.4095354973012
"suborn_1260_1_2","1260",0.166666666666667,1.18518518518518,2.2,2,-1.85688668779277,0.193053162236578
"suborn_1263_1_1","1263",0.185185185185185,1.16666666666667,2.22222222222222,2,-1.04680569097009,0.675285533382837
"suborn_1263_1_2","1263",0.166666666666667,1.16666666666667,2.24444444444444,2,-1.13899813034123,0.00897300625637903
"suborn_1263_1_3","1263",0.185185185185186,1.18518518518519,2.2,2,-0.529664666040892,-0.7987429652757
"suborn_1263_1_4","1263",0.166666666666666,1.18518518518519,2.2,2,-1.13760444369258,0.144311047195258
"suborn_1263_2_1","1263",0.166666666666667,1.18518518518519,2.2,1,-0.935278342760323,0.253335776204704
"suborn_1263_2_2","1263",0.185185185185185,1.18518518518519,2.22222222222222,1,-0.768681937309069,0.00927149988779807
"suborn_1263_2_3","1263",0.185185185185185,1.18518518518519,2.22222222222222,1,-1.00098789857388,-0.706117598063034
"suborn_1263_2_4","1263",0.185185185185185,1.16666666666667,2.2,1,0.0293615706278285,0.303755396555695
"suborn_1264_1_1","1264",0.185185185185185,1.18518518518518,2.22222222222222,2,0.623195392243065,0.0896214838708786
"suborn_1264_1_2","1264",0.166666666666667,1.18518518518519,2.22222222222222,2,-0.466891873365143,0.707964654937858
"suborn_1264_1_3","1264",0.166666666666667,1.22222222222222,2.2,2,-1.75117415258636,-0.610541950523224
"suborn_1264_1_4","1264",0.185185185185185,1.16666666666667,2.22222222222222,2,-0.1314037939189,1.21519925682675
"suborn_1264_2_2","1264",0.166666666666667,1.16666666666667,2.2,1,-0.77717825620858,0.271811959911405
"suborn_1264_2_3","1264",0.166666666666667,1.16666666666667,2.2,1,-0.741315768758059,-0.29747202521849
"suborn_1264_2_4","1264",0.185185185185185,1.18518518518519,2.2,1,-0.159531307773698,0.738161839319126
"suborn_1265_1_1","1265",0.166666666666667,1.16666666666667,2.2,2,-0.631596405802385,0.5977950887648
