"discourse_list","speakers","X1","X2","X3","target","f0_s1","f0_s2"
"suborn_1254_2_4",13,0.166666666666666,1.18518518518519,2.2,1,0.201334536035109,-1.61221361466314
"suborn_1256_1_1",14,0.259259259259261,1.18518518518519,2.22222222222222,1,0.0261921923416226,0.280284306316257
"suborn_1256_1_2",14,0.185185185185186,1.18518518518519,2.2,1,-0.447701104665032,0.155611920541596
"suborn_1256_1_3",14,0.185185185185185,1.16666666666667,2.22222222222222,1,-0.55151761057845,0.224949682343611
"suborn_1256_1_4",14,0.185185185185185,1.16666666666667,2.22222222222222,1,-0.373714983947459,0.0802135222164078
"suborn_1256_2_1",14,0.185185185185186,1.18518518518519,2.2,1,0.554822649876196,-0.0491175758332634
"suborn_1256_2_2",14,0.185185185185186,1.18518518518519,2.22222222222222,1,0.0355111150015582,0.814483592621224
"suborn_1256_2_3",14,0.185185185185186,1.16666666666667,2.2,1,-0.457725917537529,0.346497310689683
"suborn_1256_2_4",14,0.185185185185185,1.16666666666667,2.2,1,-0.369407891657551,0.031743365687587
"suborn_1257_1_1",15,0.185185185185186,1.18518518518519,2.22222222222222,1,-0.0803320740164681,0.253942160854277
"suborn_1257_1_2",15,0.185185185185186,1.16666666666667,2.2,1,-0.374133422784498,0.180599587392551
"suborn_1257_1_3",15,0.166666666666667,1.16666666666667,2.2,1,-0.541142127015232,0.0288039621004305
"suborn_1257_1_4",15,0.185185185185185,1.16666666666667,2.2,1,-1.37750409835311,0.71626238120954
"suborn_1257_2_1",15,0.166666666666667,1.16666666666667,2.2,1,0.485236621614031,-0.157915780293779
"suborn_1257_2_2",15,0.185185185185185,1.16666666666667,2.2,1,-2.36088147436597,1.19536996874079
"suborn_1257_2_3",15,0.185185185185186,1.16666666666667,2.22222222222222,1,-0.414000928652899,0.33781054345506
"suborn_1257_2_4",15,0.166666666666666,1.18518518518519,2.22222222222222,1,0.769815965707631,-0.660834488373225
"suborn_1258_1_1",16,0.166666666666667,1.18518518518518,2.22222222222222,1,0.289822594251299,0.290623593091715
"suborn_1258_1_2",16,0.185185185185185,1.18518518518518,2.2,1,-0.344310520528043,0.630909149168586
"suborn_1258_1_3",16,0.185185185185185,1.18518518518518,2.2,1,-2.85816125981376,-1.27211320566981
"suborn_1258_1_4",16,0.185185185185185,1.18518518518519,2.2,1,-0.657697742282001,0.442014647803188
"suborn_1258_2_2",16,0.166666666666667,1.18518518518519,2.2,1,-0.376806240620851,0.889147183945835
