experiment,participant,item,condition,word,wordlabel,phonelength,duration,silence,durasil,begin,meanpit,maxpitch,maxPitTime,minpitch,minPitTime,firstpitch,secondpitch,thirdpitch,fourthpitch,meanIntensity,maxIntensity
suborq,793,1,3,10,OR,2,0.150,0,0.150,7.32,155.257,199.97,0.078,94.42,0.045,94.877,111.125,187.133,182.181,61.458,66.472
suborq,793,1,3,11,MARVIN,6,0.630,0.060,0.690,7.47,154.490,179.68,0.013,84.63,0.539,174.075,170.105,165.796,86.383,59.455,68.672
suborq,793,1,3,12,AND,3,0.190,0,0.190,8.16,173.056,177.38,0.053,113.17,0.190,--undefined--,176.785,175.282,167.172,60.021,67.643
suborq,793,1,3,13,NOLAN,5,0.540,0.070,0.610,8.35,91.647,113.17,0,79.02,0.078,84.923,89.825,93.559,101.237,57.513,62.959
suborq,793,1,3,14,ARRIVED,4,0.630,0.030,0.660,8.96,137.745,265.87,0.401,104.87,0.053,108.313,115.311,188.310,--undefined--,58.469,67.957
suborq,793,1,4,1,SAID,3,0.270,0,0.270,1.46,155.120,219.76,0.007,84.96,0.187,217.036,--undefined--,109.862,179.574,61.986,69.728
suborq,793,1,4,2,SARAH,4,0.300,0,0.300,1.73,95.955,98.89,0.212,94.59,0.249,--undefined--,--undefined--,97.477,95.589,68.700,72.221
suborq,793,1,4,7,ARRIVED,4,0.890,0.120,1.010,2.03,142.065,251.81,0.872,84.76,0.262,98.242,158.488,99.610,223.592,64.683,74.104
suborq,793,1,4,8,THAT,3,0.260,0,0.260,3.64,163.119,218.09,0.016,77.38,0.182,188.423,179.790,89.326,--undefined--,66.495,73.758
suborq,793,1,4,9,MARION,6,0.780,0,0.780,3.9,184.357,297.31,0.762,91.45,0.062,157.538,181.928,186.437,210.911,61.240,64.961
suborq,793,1,4,10,OR,2,0.140,0,0.140,4.68,166.320,195.74,0.078,85.44,0.057,--undefined--,107.508,194.571,193.564,64.677,67.176
suborq,793,1,4,11,MARVIN,6,0.510,0,0.510,4.82,189.842,198.52,0.510,182.57,0.324,188.259,187.263,187.498,196.347,62.452,67.371
suborq,793,1,4,12,AND,3,0.130,0,0.130,5.33,143.016,211.79,0.007,91.42,0.027,153.707,119.009,--undefined--,--undefined--,54.961,62.257
suborq,793,1,4,13,NOLAN,5,0.510,0,0.510,5.46,208.768,229.94,0.510,95.98,0.047,178.686,208.857,215.847,225.319,63.079,67.330
suborq,793,1,4,14,ARRIVED,4,0.410,0.170,0.580,5.97,249.784,279.29,0.381,229.63,0.019,231.029,238.322,258.097,274.876,63.990,67.071
suborq,793,2,1,1,SAID,3,0.420,0.040,0.460,1.47,208.618,247.45,0.171,184.62,0.391,230.667,231.600,203.996,195.022,65.691,74.622
suborq,793,2,1,2,MARION,6,0.830,0,0.830,1.93,188.100,209.55,0.051,180.30,0.741,188.853,187.195,190.455,184.676,59.326,66.443
suborq,793,2,1,3,OR,2,0.220,0,0.220,2.76,171.193,191.60,0.117,75.94,0.061,--undefined--,123.982,189.213,182.486,64.074,70.423
suborq,793,2,1,4,MARVIN,6,0.640,0.140,0.780,2.98,163.173,201.71,0.365,87.90,0.545,175.357,173.433,182.669,107.486,57.854,66.305
