word,element_number,duration,relative_duration,discourse,speaker,Mean_F0,Mean_F0_relative,Mean_Intensity,Mean_Intensity_relative
marion,4,0.5800000000000001,0.7845966565548838,suborn_1273_5_3,suborn_1273,110.4262,-0.4954253774164985,61.79741379310345,0.09196786671397388
marion,4,0.47000000000000064,0.19544289476472299,suborn_1273_6_1,suborn_1273,111.56977777777777,-0.3650100568279874,64.8531914893617,0.4426223882212967
marion,1,0.48,0.22407696612222006,suborn_1273_6_1,suborn_1273,110.67333333333333,-0.4001187374446233,65.08041666666666,0.5811955058120581
marion,2,0.5800000000000001,0.8441628870733038,suborn_1273_5_4,suborn_1273,110.09641025641025,-0.624390284925329,61.740344827586206,0.016104135762232744
marion,4,0.4800000000000004,0.18895978461235977,suborn_1273_6_2,suborn_1273,120.4609090909091,0.08749676106079352,63.41229166666667,0.25879247447245973
marion,1,0.49,0.2788902658605679,suborn_1273_6_2,suborn_1273,116.84770833333333,-0.0905626967404776,63.88306122448979,0.3542379500324257
marion,4,0.5599999999999996,0.5556375601712098,suborn_1273_6_3,suborn_1273,117.53173913043479,-0.052064360091229084,63.92410714285714,0.31674160448103733
marion,2,0.5699999999999994,0.6255358709636288,suborn_1273_6_4,suborn_1273,124.79870370370371,0.34342728229110897,64.97263157894737,0.4528929182459241
marion,1,0.6100000000000001,0.8478350409779526,suborn_1273_1_1,suborn_1273,116.99314814814815,-0.07844736522347681,60.96819672131148,0.00013244276312731216
marion,4,0.4500000000000002,0.04812647195460615,suborn_1273_2_2,suborn_1273,121.79,0.16446050441278331,63.81422222222222,0.2124782470531478
marion,4,0.73,1.4316391317824848,suborn_1273_2_3,suborn_1273,117.25083333333333,-0.18041881938512067,60.09630136986301,-0.23700408761474345
marion,1,0.45999999999999996,0.09697914087147429,suborn_1273_2_1,suborn_1273,131.78022222222222,0.7623744568139966,65.80847826086956,0.626100689412538
marion,2,0.69,1.2599818479241272,suborn_1273_1_4,suborn_1273,112.54516129032258,-0.4349748630610184,61.92884057971015,0.07758337310312495
marion,1,0.45999999999999996,0.10659453368967156,suborn_1273_2_2,suborn_1273,116.50204545454545,-0.10032840139728176,64.98195652173914,0.4351699212313707
marion,4,0.49999999999999956,0.2607512112839236,suborn_1273_2_1,suborn_1273,118.12022222222222,-0.028741678610437436,63.802,0.2936173271734627
marion,4,0.6800000000000006,1.2311300573482646,suborn_1273_1_3,suborn_1273,139.664,0.8064093607357384,61.76544117647059,-0.009914969218539418
marion,4,0.5999999999999996,0.8272651681834093,suborn_1273_1_1,suborn_1273,119.76482758620689,-0.04596824169273964,61.605,-0.15876635321354646
marion,4,0.5699999999999998,0.6536672530904276,suborn_1273_1_2,suborn_1273,111.50666666666666,-0.41815935569229007,63.49263157894737,0.31332449408765006
marion,1,0.56,0.6902947258541517,suborn_1273_1_2,suborn_1273,114.34166666666667,-0.25218229122679275,64.88964285714286,0.5233089729328325
marion,2,0.5299999999999998,0.45162594889882046,suborn_1273_2_4,suborn_1273,127.1794,0.3676795252646603,64.01943396226415,0.41120951652520243
dillon,3,0.33999999999999986,0.11813834282773127,suborn_1273_4_3,suborn_1273,109.17421052631579,-0.5107325988506258,61.181176470588234,0.1860688402608442
dillon,1,0.29,-0.2803866651494278,suborn_1273_4_4,suborn_1273,127.45590909090909,0.49210023106720463,63.138275862068966,0.6661139223925752
dillon,1,0.29000000000000004,-0.23609456652116964,suborn_1273_4_1,suborn_1273,137.0784,0.876167547057882,67.59793103448276,1.2465178057952566
dillon,2,0.4600000000000001,0.8693046695776138,suborn_1273_4_2,suborn_1273,117.59041666666667,-0.04575092384148197,62.37826086956522,0.5698715768766537
dillon,1,0.36,0.3255277246929924,suborn_1273_3_4,suborn_1273,128.97607142857143,0.5159741577938803,63.55388888888889,0.6889192508080858
dillon,2,0.31000000000000005,-0.0446221656044436,suborn_1273_3_2,suborn_1273,122.33888888888889,0.15502249832339315,66.7374193548387,1.0980419136124984
dillon,1,0.48,0.9809799862744659,suborn_1273_3_3,suborn_1273,116.97685714285714,0.010459739375674862,59.50875,0.20718182388877596
dillon,3,0.3600000000000001,0.2922938010701697,suborn_1273_3_1,suborn_1273,95.71620689655172,-1.077887279954849,60.22833333333333,0.005740929660253637
molly,6,0.6500000000000004,1.9234887171839685,suborn_1273_7_1,suborn_1273,141.9440476190476,1.204652472009485,57.50415384615385,-0.5527729148381195
molly,3,0.3600000000000001,-0.14750077268598888,suborn_1273_7_2,suborn_1273,104.98083333333334,-0.48764181545783836,64.1986111111111,0.4204226860353791
molly,6,0.4299999999999997,0.23109639235873453,suborn_1273_7_2,suborn_1273,89.71363636363637,-1.3293755681088333,55.744651162790696,-0.6212983689610576
molly,3,0.33999999999999986,-0.4053042429443473,suborn_1273_7_3,suborn_1273,107.64076923076924,-0.3659853389103402,63.595588235294116,0.41369736412158303
molly,6,0.5099999999999998,0.73742227494074,suborn_1273_7_3,suborn_1273,,,51.71921568627451,-1.3708504613319814
